EAN,SKU,Reference,Style,color,UK Size,article_number,outer_material,brand,EU Size,comodity,MRP,PPCN
8909443020564,DISNEY6401NAVYKBRV-34,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Navy Blue,2,DISNEY6401NAVYKBRV,EVA,Miss & Chief,34,Clogs,1699,24
8909443020571,DISNEY6401NAVYKBRV-35,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Navy Blue,3,DISNEY6401NAVYKBRV,EVA,Miss & Chief,35,Clogs,1699,24
8909443020342,DISNEY6401PINKKBRV-24,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Baby Pink,5C,DISNEY6401PINKKBRV,EVA,Miss & Chief,24,Clogs,1699,24
8909443020359,DISNEY6401PINKKBRV-25,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Baby Pink,6C,DISNEY6401PINKKBRV,EVA,Miss & Chief,25,Clogs,1699,24
8909443020366,DISNEY6401PINKKBRV-26,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Baby Pink,7C,DISNEY6401PINKKBRV,EVA,Miss & Chief,26,Clogs,1699,24
8909443020373,DISNEY6401PINKKBRV-27,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Baby Pink,8C,DISNEY6401PINKKBRV,EVA,Miss & Chief,27,Clogs,1699,24
8909443020380,DISNEY6401PINKKBRV-28,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Baby Pink,9C,DISNEY6401PINKKBRV,EVA,Miss & Chief,28,Clogs,1699,24
8909443020397,DISNEY6401PINKKBRV-29,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Baby Pink,10C,DISNEY6401PINKKBRV,EVA,Miss & Chief,29,Clogs,1699,24
8909443020427,DISNEY6401PINKKBRV-32,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Baby Pink,13C,DISNEY6401PINKKBRV,EVA,Miss & Chief,32,Clogs,1699,24
8909443020434,DISNEY6401PINKKBRV-33,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Baby Pink,1,DISNEY6401PINKKBRV,EVA,Miss & Chief,33,Clogs,1699,24
8909443020441,DISNEY6401PINKKBRV-34,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Baby Pink,2,DISNEY6401PINKKBRV,EVA,Miss & Chief,34,Clogs,1699,24
8909443020458,DISNEY6401PINKKBRV-35,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Baby Pink,3,DISNEY6401PINKKBRV,EVA,Miss & Chief,35,Clogs,1699,24
8909443020229,DISNEY6401PURPLKBRV-24,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Lavender,5C,DISNEY6401PURPLKBRV,EVA,Miss & Chief,24,Clogs,1699,24
8909443020236,DISNEY6401PURPLKBRV-25,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Lavender,6C,DISNEY6401PURPLKBRV,EVA,Miss & Chief,25,Clogs,1699,24
8909443020243,DISNEY6401PURPLKBRV-26,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Lavender,7C,DISNEY6401PURPLKBRV,EVA,Miss & Chief,26,Clogs,1699,24
8909443020250,DISNEY6401PURPLKBRV-27,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Lavender,8C,DISNEY6401PURPLKBRV,EVA,Miss & Chief,27,Clogs,1699,24
8909443020267,DISNEY6401PURPLKBRV-28,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Lavender,9C,DISNEY6401PURPLKBRV,EVA,Miss & Chief,28,Clogs,1699,24
8909443020274,DISNEY6401PURPLKBRV-29,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Lavender,10C,DISNEY6401PURPLKBRV,EVA,Miss & Chief,29,Clogs,1699,24
8909443020281,DISNEY6401PURPLKBRV-30,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Lavender,11C,DISNEY6401PURPLKBRV,EVA,Miss & Chief,30,Clogs,1699,24
8909443020298,DISNEY6401PURPLKBRV-31,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Lavender,12C,DISNEY6401PURPLKBRV,EVA,Miss & Chief,31,Clogs,1699,24
8909443020304,DISNEY6401PURPLKBRV-32,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Lavender,13C,DISNEY6401PURPLKBRV,EVA,Miss & Chief,32,Clogs,1699,24
8909443020311,DISNEY6401PURPLKBRV-33,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Lavender,1,DISNEY6401PURPLKBRV,EVA,Miss & Chief,33,Clogs,1699,24
8909443020328,DISNEY6401PURPLKBRV-34,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Lavender,2,DISNEY6401PURPLKBRV,EVA,Miss & Chief,34,Clogs,1699,24
8909443020335,DISNEY6401PURPLKBRV-35,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Lavender,3,DISNEY6401PURPLKBRV,EVA,Miss & Chief,35,Clogs,1699,24
8909443020106,DISNEY6401REDKBRV-24,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Tomato Red,5C,DISNEY6401REDKBRV,EVA,Miss & Chief,24,Clogs,1699,24
8909443020113,DISNEY6401REDKBRV-25,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Tomato Red,6C,DISNEY6401REDKBRV,EVA,Miss & Chief,25,Clogs,1699,24
8909443020120,DISNEY6401REDKBRV-26,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Tomato Red,7C,DISNEY6401REDKBRV,EVA,Miss & Chief,26,Clogs,1699,24
8909443020137,DISNEY6401REDKBRV-27,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Tomato Red,8C,DISNEY6401REDKBRV,EVA,Miss & Chief,27,Clogs,1699,24
8909443020144,DISNEY6401REDKBRV-28,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Tomato Red,9C,DISNEY6401REDKBRV,EVA,Miss & Chief,28,Clogs,1699,24
8909443020151,DISNEY6401REDKBRV-29,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Tomato Red,10C,DISNEY6401REDKBRV,EVA,Miss & Chief,29,Clogs,1699,24
8909443020168,DISNEY6401REDKBRV-30,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Tomato Red,11C,DISNEY6401REDKBRV,EVA,Miss & Chief,30,Clogs,1699,24
8909443020175,DISNEY6401REDKBRV-31,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Tomato Red,12C,DISNEY6401REDKBRV,EVA,Miss & Chief,31,Clogs,1699,24
8909443020182,DISNEY6401REDKBRV-32,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Tomato Red,13C,DISNEY6401REDKBRV,EVA,Miss & Chief,32,Clogs,1699,24
8909443020199,DISNEY6401REDKBRV-33,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Tomato Red,1,DISNEY6401REDKBRV,EVA,Miss & Chief,33,Clogs,1699,24
8909443020205,DISNEY6401REDKBRV-34,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Tomato Red,2,DISNEY6401REDKBRV,EVA,Miss & Chief,34,Clogs,1699,24
8909443020212,DISNEY6401REDKBRV-35,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Tomato Red,3,DISNEY6401REDKBRV,EVA,Miss & Chief,35,Clogs,1699,24
8909443019988,DISNEY6401YELLOWKBRV-24,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Yellow,5C,DISNEY6401YELLOWKBRV,EVA,Miss & Chief,24,Clogs,1699,24
8909443019995,DISNEY6401YELLOWKBRV-25,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Yellow,6C,DISNEY6401YELLOWKBRV,EVA,Miss & Chief,25,Clogs,1699,24
8909443020007,DISNEY6401YELLOWKBRV-26,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Yellow,7C,DISNEY6401YELLOWKBRV,EVA,Miss & Chief,26,Clogs,1699,24
8909443020014,DISNEY6401YELLOWKBRV-27,MISS CHIEF DISNEY 6401,DISNEY6401KBRV,Yellow,8C,DISNEY6401YELLOWKBRV,EVA,Miss & Chief,27,Clogs,1699,24
